,0
1641,56503
1642,56503
1643,56465
1644,56465
1645,56465
1646,56465
1647,56465
1648,56465
1649,56465
1650,56465
1651,56465
1652,56465
1653,56465
1654,56465
1655,56465
1656,56465
1657,56465
1658,56465
1659,56465
1660,56465
1661,56465
1662,56465
1663,56465
1664,56465
1665,56465
1666,56465
1667,56425
1668,56425
1669,56425
1670,56425
1671,56425
1672,56425
1673,56425
1674,56425
1675,56425
1676,56425
1677,56425
1678,56425
1679,56425
1680,56425
1681,56425
1682,56425
1683,56425
1684,56425
1685,56425
1686,56425
1687,56425
1688,56425
1689,56425
1690,56425
1691,56378
1692,56378
1693,56378
1694,56378
1695,56378
1696,56378
1697,56378
1698,56378
1699,56378
1700,56378
1701,56378
1702,56378
1703,56378
1704,56378
1705,56378
1706,56378
1707,56378
1708,56378
1709,56378
1710,56378
1711,56378
1712,56378
1713,56378
1714,56378
1715,56328
1716,56328
1717,56328
1718,56328
1719,56328
1720,56328
1721,56328
1722,56328
1723,56328
1724,56328
1725,56328
1726,56328
1727,56328
1728,56328
1729,56328
1730,56328
1731,56328
1732,56328
1733,56328
1734,56328
1735,56328
1736,56328
1737,56328
1738,56328
1739,56274
1740,56274
1741,56274
1742,56274
1743,56274
1744,56274
1745,56274
1746,56274
1747,56274
1748,56274
1749,56274
1750,56274
1751,56274
1752,56274
1753,56274
1754,56274
1755,56274
1756,56274
1757,56274
1758,56274
1759,56274
1760,56274
1761,56274
1762,56274
1763,56215
1764,56215
1765,56215
1766,56215
1767,56215
1768,56215
1769,56215
1770,56215
1771,56215
1772,56215
1773,56215
1774,56215
1775,56215
1776,56215
1777,56215
1778,56215
1779,56215
1780,56215
1781,56215
1782,56215
1783,56215
1784,56215
1785,56215
1786,56215
1787,56152
1788,56152
1789,56152
1790,56152
1791,56152
1792,56152
1793,56152
1794,56152
1795,56152
1796,56152
1797,56152
1798,56152
1799,56152
1800,56152
1801,56152
1802,56152
1803,56152
1804,56152
1805,56152
1806,56152
1807,56152
1808,56152
1809,56152
1810,56152
1811,56086
1812,56086
1813,56086
1814,56086
1815,56086
1816,56086
1817,56086
1818,56086
1819,56086
1820,56086
1821,56086
1822,56086
1823,56086
1824,56086
1825,56086
1826,56086
1827,56086
1828,56086
1829,56086
1830,56086
1831,56086
1832,56086
1833,56086
1834,56086
1835,56014
1836,56014
1837,56014
1838,56014
1839,56014
1840,56014
1841,56014
1842,56014
1843,56014
1844,56014
1845,56014
1846,56014
1847,56014
1848,56014
1849,56014
1850,56014
1851,56014
1852,56014
1853,56014
1854,56014
1855,56014
1856,56014
1857,56014
1858,56014
1859,55939
1860,55939
1861,55939
1862,55939
1863,55939
1864,55939
1865,55939
1866,55939
1867,55939
1868,55939
1869,55939
1870,55939
1871,55939
1872,55939
